Institution	City	State	Zipcode	RU_VH	ARL	ACAD_RES	Public_100K	Public_CA	latitude	longitude
Knox County Public Library	Knoxville	Tennessee	37902	N	N	N	Y	N	35.961128	-83.920876
Memphis Public Library & Info. Center	Memphis	Tennessee	38111	N	N	N	Y	N	35.133754	-89.960345
Nashville Public Library	Nashville-Davidson	Tennessee	37219	N	N	N	Y	N	36.16175461	-86.78160858
Abilene Public Library	Abilene	Texas	79601	N	N	N	Y	N	32.45075	-99.735531
Amarillo Public Library	Amarillo	Texas	79101	N	N	N	Y	N	35.207255	-101.833894
Arlington Public Library	Arlington	Texas	76010	N	N	N	Y	N	32.735664	-97.106958
University of Iowa	Iowa City	Iowa	52242	Y	Y	Y	N	N	41.66015	-91.538017
Vanderbilt University	Nashville	Tennessee	37203	Y	Y	Y	N	N	36.145716	-86.800029
Virgina Commonwealth University	Richmond	Virginia	23291	Y	N	Y	N	N	37.547698	-77.453608
Virgina Polytechnic Institute and State University	Blacksburg	Virginia	24062	Y	Y	Y	N	N	37.229401	-80.414101
Washington State University	Pullman	Washington	99164	Y	Y	Y	N	N	46.731078	-117.163667
Washington University in St. Louis	Saint Louis	Missouri	63130	Y	Y	Y	N	N	38.662491	-90.323792
Wayne State University	Detroit	Michigan	48202	Y	Y	Y	N	N	42.356125	-83.071983
Yale University	New Haven	Connecticut	06520	Y	Y	Y	N	N	41.30983734	-72.92810822
Yeshiva University	New York	New York	10033	Y	N	Y	N	N	40.85058711	-73.92935827
York University	Toronto	Ontario		N	Y	Y	N	N	43.774454	-79.494061
Birmingham-Jefferson Public Library	Birmingham	Alabama	35203	N	N	N	Y	N	33.520705	-86.80786
Huntsville-Madison County Public Library	Huntsville	Alabama	35804	N	N	N	Y	N	34.72696	-86.585589
Mobile Public Library	Mobile	Alabama	36602	N	N	N	Y	N	30.686535	-88.050313
Alabama Public Library Service	Montgomery	Alabama	36130	N	N	N	Y	N	32.377205	-86.300434
Anchorage Public Library	Anchorage	Alaska	99503	N	N	N	Y	N	61.1873335	-149.8787518
Chandler Public Library	Chandler	Arizona	85244	N	N	N	Y	N	33.3027873	-111.8376092
Glendale Public Library	Glendale	Arizona	85302	N	N	N	Y	N	33.578165	-112.187339
Mesa Public Library	Mesa	Arizona	85201	N	N	N	Y	N	33.41728874	-111.8298159
Peoria Public Library	Peoria	Arizona	85345	N	N	N	Y	N	33.577192	-112.240036
